Pin,Field,Size,ExpectedData,Base,ItuffToken,ItuffDescriptor,ExitPort
TDO,mmc0_status,32,0x30000000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc1_status,32,0x30000000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc2_status,32,0x30000000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc3_status,32,0x30000000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc0_fw_signature1,32,0xCAFEF000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc0_fw_signature2,32,0xF000CAFE,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc0_fw_allocUsed,32,-,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc1_fw_signature1,32,0xCAFEF000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc1_fw_signature2,32,0xF000CAFE,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc1_fw_allocUsed,32,-,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc2_fw_signature1,32,0xCAFEF000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc2_fw_signature2,32,0xF000CAFE,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc2_fw_allocUsed,32,-,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc3_fw_signature1,32,0xCAFEF000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc3_fw_signature2,32,0xF000CAFE,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc3_fw_allocUsed,32,-,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc0_status_acio,32,0x30000000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc1_status_acio,32,0x30000000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc0_fw_signature1_acio,32,0xCAFEF000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc0_fw_signature2_acio,32,0xF000CAFE,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc0_fw_allocUsed_acio,32,-,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc1_fw_signature1_acio,32,0xCAFEF000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc1_fw_signature2_acio,32,0xF000CAFE,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc1_fw_allocUsed_acio,32,-,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc2_status_acio,32,0x30000000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc3_status_acio,32,0x30000000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc2_fw_signature1_acio,32,0xCAFEF000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc2_fw_signature2_acio,32,0xF000CAFE,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc2_fw_allocUsed_acio,32,-,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc3_fw_signature1_acio,32,0xCAFEF000,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc3_fw_signature2_acio,32,0xF000CAFE,16,FWSTATUSACIO,FWSTATUSACIO,0
TDO,mmc3_fw_allocUsed_acio,32,-,16,FWSTATUSACIO,FWSTATUSACIO,0
